location,ticket_number,issued_date,description,status,dayofweek,hourofday,lat,lon,count,amount
300 WAVERLY AVE,23500055,2023/01/04 13:41:00+00,UNREGSTRD/UNAFFIXD/ALL VTL401-1/403-1,Second Notice,Wednesday,13,43.0400816,-76.1317789,1,25
300 WAVERLY AVE,23500056,2023/01/04 13:41:00+00,UNINSPECTED/ ALL TIMES VTL 306-B,Adjudication Partial ,Wednesday,13,43.0400816,-76.1317789,1,10
300 WAVERLY AVE,23500057,2023/01/04 13:42:00+00,UNINSPECTED/ ALL TIMES VTL 306-B,Fourth Notice,Wednesday,13,43.0400816,-76.1317789,1,25
300 WAVERLY AVE,23500060,2023/01/04 14:07:00+00,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Paid In Full,Wednesday,14,43.0400816,-76.1317789,1,25
300 WAVERLY AVE,23500061,2023/01/04 14:08:00+00,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Fourth Notice,Wednesday,14,43.0400816,-76.1317789,1,25
300 WAVERLY AVE,231500060,2023/01/04 14:07:00+00,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Adjudication Approved,Wednesday,14,43.0400816,-76.1317789,1,0
300 WAVERLY AVE,231500061,2023/01/04 14:08:00+00,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Paid In Full,Wednesday,14,43.0400816,-76.1317789,1,25
300 WAVERLY AVE,23500062,2023/01/04 14:10:00+00,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Paid In Full,Wednesday,14,43.0400816,-76.1317789,1,25
300 WAVERLY AVE,231500062,2023/01/04 14:09:00+00,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Fourth Notice,Wednesday,14,43.0400816,-76.1317789,1,25
300 WAVERLY AVE,231500063,2023/01/04 14:11:00+00,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Paid In Full,Wednesday,14,43.0400816,-76.1317789,1,25
300 WAVERLY AVE,23500063,2023/01/04 14:11:00+00,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Paid In Full,Wednesday,14,43.0400816,-76.1317789,1,25
300 WAVERLY AVE,231500064,2023/01/04 14:12:00+00,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Fourth Notice,Wednesday,14,43.0400816,-76.1317789,1,25
300 WAVERLY AVE,23500064,2023/01/04 14:13:00+00,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Paid In Full,Wednesday,14,43.0400816,-76.1317789,1,25
300 WAVERLY AVE,231500065,2023/01/04 14:13:00+00,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Paid In Full,Wednesday,14,43.0400816,-76.1317789,1,25
300 WAVERLY AVE,23500065,2023/01/04 14:14:00+00,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Paid In Full,Wednesday,14,43.0400816,-76.1317789,1,25
300 WAVERLY AVE,381422D,2023/01/05 09:49:00+00,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Paid In Full,Thursday,9,43.0400816,-76.1317789,1,25
300 WAVERLY AVE,381430D,2023/01/05 10:07:00+00,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Paid In Full,Thursday,10,43.0400816,-76.1317789,1,25
300 WAVERLY AVE,381432D,2023/01/05 10:13:00+00,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Fourth Notice,Thursday,10,43.0400816,-76.1317789,1,25
300 WAVERLY AVE,381431D,2023/01/05 10:09:00+00,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Fourth Notice,Thursday,10,43.0400816,-76.1317789,1,25
300 WAVERLY AVE,395830D,2023/01/06 02:18:00+00,UNREGSTRD/UNAFFIXD/ALL VTL401-1/403-1,Paid In Full,Friday,2,43.0400816,-76.1317789,1,25
300 WAVERLY AVE,395831D,2023/01/06 02:20:00+00,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Paid In Full,Friday,2,43.0400816,-76.1317789,1,25
300 WAVERLY AVE,395832D,2023/01/06 02:21:00+00,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Fourth Notice,Friday,2,43.0400816,-76.1317789,1,25
300 WAVERLY AVE,395833D,2023/01/06 02:24:00+00,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Fourth Notice,Friday,2,43.0400816,-76.1317789,1,25
300 WAVERLY AVE,395835D,2023/01/06 02:29:00+00,UNREGSTRD/UNAFFIXD/ALL VTL401-1/403-1,Fourth Notice,Friday,2,43.0400816,-76.1317789,1,25
300 WAVERLY AVE,395834D,2023/01/06 02:26:00+00,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Paid In Full,Friday,2,43.0400816,-76.1317789,1,25
300 WAVERLY AVE,395838D,2023/01/06 02:35:00+00,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Paid In Full,Friday,2,43.0400816,-76.1317789,1,25
300 WAVERLY AVE,395837D,2023/01/06 02:33:00+00,UNINSPECTED/ ALL TIMES VTL 306-B,Fourth Notice,Friday,2,43.0400816,-76.1317789,1,25
300 WAVERLY AVE,395836D,2023/01/06 02:31:00+00,UNINSPECTED/ ALL TIMES VTL 306-B,Fourth Notice,Friday,2,43.0400816,-76.1317789,1,25
